UserId|UserName|state|age|gender|PlanName|PlanData(MB)|PlanAmount($)|AvgData
0|Andromache|IA|48|M|Small|1024|30|523
1|Delphinia|KY|16|F|Small|1024|30|577
2|Bellina|VT|20|M|Small|1024|30|605
3|Dori|AZ|58|F|Small|1024|30|421
4|Jo-Ann|WA|52|F|Small|1024|30|551
5|Amelia|MO|21|M|Small|1024|30|949
6|Gabriela|CA|59|F|Small|1024|30|698
7|Hayley|IA|42|F|Small|1024|30|925
8|Dasi|VT|35|F|Small|1024|30|697
9|Amaleta|GA|54|F|Small|1024|30|988
10|Amalie|OK|16|M|Small|1024|30|343
11|Ashleigh|MN|55|F|Small|1024|30|434
12|Jade|GA|53|F|Small|1024|30|828
13|Ardene|VT|33|F|Small|1024|30|758
14|Annabelle|MI|15|F|Small|1024|30|925
15|Alicia|MS|57|M|Small|1024|30|470
16|Janna|NM|26|M|Small|1024|30|866
17|Jewel|AR|45|F|Small|1024|30|535
18|Daron|MD|59|F|Small|1024|30|1004
19|Annadiana|AK|38|M|Small|1024|30|552
20|Atlante|RI|18|M|Small|1024|30|867
21|Friederike|OK|28|M|Small|1024|30|287
22|Glennis|NE|43|M|Small|1024|30|497
23|Bernette|WA|44|M|Small|1024|30|858
24|Anallise|HI|52|M|Small|1024|30|493
25|Gusty|MI|27|F|Small|1024|30|804
26|Agnola|WV|50|F|Small|1024|30|301
27|Anette|NE|16|M|Small|1024|30|347
28|Barbey|RI|24|F|Small|1024|30|734
29|Helsa|PA|44|M|Small|1024|30|782
30|Audrye|MD|32|M|Small|1024|30|454
31|Aaren|WA|45|F|Small|1024|30|268
32|Aurie|MI|38|F|Small|1024|30|257
33|Harrie|OR|48|M|Small|1024|30|390
34|Gretchen|VT|25|M|Small|1024|30|661
35|Ddene|AL|29|F|Small|1024|30|634
36|Adina|RI|54|M|Small|1024|30|629
37|Frances|NH|34|F|Small|1024|30|300
38|Arlene|TX|20|M|Small|1024|30|940
39|Hildagard|ID|36|F|Small|1024|30|890
40|Allison|WY|32|M|Small|1024|30|969
41|Darbie|DE|31|F|Small|1024|30|953
42|Joli|NY|54|M|Small|1024|30|252
43|Dulciana|NE|35|M|Small|1024|30|523
44|Austin|IA|21|M|Small|1024|30|1009
45|Jaimie|RI|53|M|Small|1024|30|792
46|Ami|NE|50|F|Small|1024|30|568
47|Adria|ME|44|M|Small|1024|30|371
48|Elisha|GA|42|F|Small|1024|30|303
49|Estell|WY|47|M|Small|1024|30|583
50|Berte|RI|24|M|Small|1024|30|707
51|Hannah|TX|23|M|Small|1024|30|273
52|Esma|KS|26|M|Small|1024|30|863
53|Dulcinea|TN|56|M|Small|1024|30|1007
54|Allyson|UT|29|M|Small|1024|30|903
55|Aimee|OH|34|M|Small|1024|30|565
56|Janifer|AZ|35|F|Small|1024|30|566
57|Darline|KS|43|M|Small|1024|30|730
58|Anthe|FL|34|M|Small|1024|30|704
59|Arlyne|WA|37|F|Small|1024|30|718
60|Gloriana|AR|47|M|Small|1024|30|513
61|Dolly|MN|20|M|Small|1024|30|670
62|Amalle|MA|18|F|Small|1024|30|338
63|Elsa|TX|40|F|Small|1024|30|598
64|Annabal|GA|39|M|Small|1024|30|873
65|Janina|MN|24|F|Small|1024|30|744
66|Amandy|GA|39|F|Small|1024|30|763
67|Hyacinthie|KY|17|M|Small|1024|30|1017
68|Jacky|GA|29|F|Small|1024|30|646
69|Guendolen|CO|41|F|Small|1024|30|299
70|Debbie|ME|49|M|Small|1024|30|599
71|Emmalee|NE|30|F|Small|1024|30|578
72|Jo|ID|42|F|Small|1024|30|585
73|Janine|UT|39|M|Small|1024|30|459
74|Ariana|SD|24|F|Small|1024|30|683
75|Joana|VT|47|F|Small|1024|30|282
76|Hedy|TX|24|M|Small|1024|30|465
77|Gizela|MA|18|M|Small|1024|30|340
78|Bibi|WY|34|F|Small|1024|30|267
79|Flossi|NV|43|M|Small|1024|30|711
80|Jacky|NH|34|F|Small|1024|30|923
81|Ericha|DE|17|F|Small|1024|30|621
82|Francoise|SD|36|F|Small|1024|30|725
83|Amie|AL|23|M|Small|1024|30|788
84|Eleonore|SC|36|M|Small|1024|30|990
85|Arleyne|ME|28|F|Small|1024|30|952
86|Dniren|IL|29|M|Small|1024|30|367
87|Bab|MI|37|F|Small|1024|30|807
88|Ethelda|ME|23|F|Small|1024|30|605
89|Electra|NE|54|M|Small|1024|30|949
90|Fidelity|ME|25|F|Small|1024|30|324
91|Aloise|CA|32|F|Small|1024|30|768
92|Arlen|UT|30|F|Small|1024|30|302
93|Dianemarie|MT|23|M|Small|1024|30|536
94|Gennifer|NE|42|F|Small|1024|30|341
95|Andriana|NM|54|F|Small|1024|30|605
96|Gabrielle|MO|59|F|Small|1024|30|461
97|Agatha|AK|42|M|Small|1024|30|294
98|Angie|AZ|47|F|Small|1024|30|653
99|Gerri|AL|23|F|Small|1024|30|294
100|Joletta|KY|35|F|Small|1024|30|412
101|Amargo|RI|39|F|Small|1024|30|994
102|Eddi|ID|50|M|Small|1024|30|1018
103|Gerty|VT|39|F|Small|1024|30|276
104|Delcine|VT|15|M|Small|1024|30|424
105|Floris|SC|46|M|Small|1024|30|565
106|Ammamaria|MI|30|F|Small|1024|30|609
107|Daune|AL|16|F|Small|1024|30|375
108|Becca|MO|16|M|Small|1024|30|699
109|Janna|IL|33|F|Small|1024|30|872
110|Hermia|MS|36|M|Small|1024|30|779
111|Ame|KS|20|F|Small|1024|30|683
112|Bidget|AR|32|M|Small|1024|30|901
113|Ainslee|VT|26|F|Small|1024|30|747
114|Georgetta|TX|58|F|Small|1024|30|847
115|Jacquenetta|TX|51|F|Small|1024|30|487
116|Devan|ME|50|M|Small|1024|30|702
117|Franky|WV|53|F|Small|1024|30|521
118|Ailene|VA|29|M|Small|1024|30|905
119|Arlie|CA|53|M|Small|1024|30|661
120|Agnese|AL|40|M|Small|1024|30|331
121|Joby|MO|56|F|Small|1024|30|861
122|Belita|MO|30|M|Small|1024|30|379
123|Jeni|IN|16|F|Small|1024|30|389
124|Alta|AK|33|M|Small|1024|30|713
125|Harley|MT|57|F|Small|1024|30|690
126|Harriott|WI|34|M|Small|1024|30|458
127|Desdemona|SD|38|M|Small|1024|30|719
128|Annis|AK|20|M|Small|1024|30|312
129|Emlynne|NH|56|F|Small|1024|30|951
130|Jeni|AR|27|M|Small|1024|30|587
131|Adah|NJ|18|F|Small|1024|30|490
132|Dulce|NV|24|M|Small|1024|30|1015
133|Bert|AR|19|M|Small|1024|30|851
134|Angela|OR|50|F|Small|1024|30|260
135|Aleta|VT|30|M|Small|1024|30|292
136|Audry|NJ|18|F|Small|1024|30|737
137|Gladi|OK|25|F|Small|1024|30|451
138|Harlene|OK|53|F|Small|1024|30|363
139|Faunie|SD|59|M|Small|1024|30|861
140|Eden|MS|50|M|Small|1024|30|843
141|Ashleigh|IA|28|M|Small|1024|30|539
142|Amandy|IL|45|F|Small|1024|30|315
143|Ingeberg|MS|33|F|Small|1024|30|444
144|Eustacia|TN|27|F|Small|1024|30|1011
145|Donella|UT|52|F|Small|1024|30|560
146|Avril|VA|27|F|Small|1024|30|694
147|Goldie|SD|59|M|Small|1024|30|574
148|Dru|MA|17|M|Small|1024|30|366
149|Emlynne|AZ|26|F|Small|1024|30|468
150|Anestassia|MA|35|F|Small|1024|30|405
151|Franciska|GA|55|M|Small|1024|30|516
152|Daryl|MN|35|F|Small|1024|30|351
153|Ariadne|WI|17|M|Small|1024|30|508
154|Ainsley|MO|32|M|Small|1024|30|865
155|Aprilette|PA|53|F|Small|1024|30|589
156|Delcine|NM|59|F|Small|1024|30|454
157|Holly|MN|35|M|Small|1024|30|959
158|Ermina|VA|55|F|Small|1024|30|306
159|Adel|WV|27|M|Small|1024|30|990
160|Estell|AL|24|F|Small|1024|30|430
161|Francene|AK|31|M|Small|1024|30|266
162|Jaimie|KY|23|F|Small|1024|30|1000
163|Gisela|MN|55|F|Small|1024|30|478
164|Giulia|MT|43|M|Small|1024|30|845
165|Angele|NJ|46|M|Small|1024|30|855
166|Aurel|MS|39|F|Small|1024|30|918
167|Deidre|MA|35|M|Small|1024|30|721
168|Heidi|CO|34|M|Small|1024|30|264
169|Aurel|OR|25|F|Small|1024|30|513
170|Enrichetta|AZ|49|M|Small|1024|30|421
171|Alexia|ME|19|F|Small|1024|30|321
172|Alfie|KY|29|M|Small|1024|30|862
173|Donnie|SC|33|F|Small|1024|30|713
174|Darb|WY|41|F|Small|1024|30|624
175|Fidelia|AR|25|M|Small|1024|30|666
176|Dita|LA|58|F|Small|1024|30|426
177|Ardine|OH|39|F|Small|1024|30|868
178|Johnette|KS|46|M|Small|1024|30|668
179|Ebonee|RI|23|F|Small|1024|30|707
180|Dory|KY|34|M|Small|1024|30|255
181|Erica|MN|54|F|Small|1024|30|705
182|Joli|DE|59|M|Small|1024|30|777
183|Gertrud|ME|43|M|Small|1024|30|716
184|Ginnie|ID|53|F|Small|1024|30|720
185|Adoree|IA|31|M|Small|1024|30|256
186|Ina|UT|42|F|Small|1024|30|318
187|Ally|VA|53|F|Small|1024|30|768
188|Giuditta|TN|16|F|Small|1024|30|871
189|Holli|KY|37|F|Small|1024|30|889
190|Amandie|CT|23|M|Small|1024|30|917
191|Ashly|MS|34|F|Small|1024|30|1012
192|Belvia|CA|37|F|Small|1024|30|814
193|Anallese|NV|36|M|Small|1024|30|709
194|Harri|MT|57|M|Small|1024|30|921
195|Jamie|HI|55|M|Small|1024|30|847
196|Georgia|SC|51|F|Small|1024|30|946
197|Gilberta|OH|42|F|Small|1024|30|927
198|Feliza|MS|30|F|Small|1024|30|557
199|Flore|KY|37|M|Small|1024|30|774
200|Bertie|TX|31|F|Small|1024|30|272
201|Eveleen|GA|53|M|Small|1024|30|993
202|Joni|NH|25|F|Small|1024|30|469
203|Edna|IN|58|F|Small|1024|30|257
204|Dorothea|WA|52|M|Small|1024|30|999
205|Bill|GA|26|F|Small|1024|30|423
206|Ethelda|OK|45|F|Small|1024|30|619
207|Ilsa|MA|53|F|Small|1024|30|486
208|Ema|TN|36|F|Small|1024|30|927
209|Alexandra|ID|41|M|Small|1024|30|956
210|Deeanne|LA|55|M|Small|1024|30|430
211|Debbi|AK|20|F|Small|1024|30|801
212|Dode|WA|55|F|Small|1024|30|546
213|Bertine|VT|47|M|Small|1024|30|583
214|Alexine|MA|35|M|Small|1024|30|617
215|Farrah|MS|21|M|Small|1024|30|949
216|Alix|NJ|52|M|Small|1024|30|913
217|Audy|SD|35|M|Small|1024|30|341
218|Hildagarde|IA|54|F|Small|1024|30|941
219|Fannie|WA|39|M|Small|1024|30|698
220|Anselma|MT|29|F|Small|1024|30|904
221|Jessamyn|VT|41|F|Small|1024|30|730
222|Jacquelynn|VT|48|M|Small|1024|30|739
223|Hermione|CA|54|M|Small|1024|30|370
224|Edna|MN|34|M|Small|1024|30|713
225|Gunilla|NE|45|M|Small|1024|30|921
226|Garnette|VA|52|F|Small|1024|30|817
227|Erminia|IL|53|M|Small|1024|30|946
228|Dareen|ID|46|F|Small|1024|30|424
229|Jenn|NV|51|M|Small|1024|30|302
230|Eloisa|AZ|37|M|Small|1024|30|324
231|Gilligan|AR|23|M|Small|1024|30|309
232|Doralyn|ID|22|F|Small|1024|30|976
233|Jodee|AZ|57|M|Small|1024|30|302
234|Ernesta|ID|45|M|Small|1024|30|883
235|Batsheva|PA|49|F|Small|1024|30|756
236|Athena|OR|37|M|Small|1024|30|517
237|Ferdinanda|MA|45|F|Small|1024|30|256
238|Eilis|AR|36|M|Small|1024|30|613
239|Ameline|AZ|51|F|Small|1024|30|438
240|Jacinda|NM|35|M|Small|1024|30|637
241|Berty|ME|30|M|Small|1024|30|897
242|Jodie|KS|26|F|Small|1024|30|915
243|Gerda|OK|52|F|Small|1024|30|490
244|Erminia|MD|26|M|Small|1024|30|698
245|Elayne|PA|41|F|Small|1024|30|793
246|Arlyn|WA|17|F|Small|1024|30|846
247|Fawne|IN|33|F|Small|1024|30|289
248|Batsheva|AR|30|F|Small|1024|30|269
249|Ardath|SD|48|M|Small|1024|30|841
250|Diann|ID|27|M|Small|1024|30|775
251|Elfrieda|LA|20|F|Small|1024|30|256
252|Emma|SC|44|F|Small|1024|30|738
253|Alene|IL|41|F|Small|1024|30|439
254|Dorie|KS|59|M|Small|1024|30|289
255|Eileen|AK|32|M|Small|1024|30|556
256|Gail|AL|29|F|Small|1024|30|482
257|Jobie|NY|43|F|Small|1024|30|458
258|Becki|DE|55|F|Small|1024|30|641
259|Dyna|MI|47|M|Small|1024|30|996
260|Jasmine|ID|50|M|Small|1024|30|502
261|Alyda|IL|51|M|Small|1024|30|398
262|Dulcie|WI|51|M|Small|1024|30|504
263|Emilee|MN|47|M|Small|1024|30|756
264|Dora|NY|41|F|Small|1024|30|1009
265|Berte|MA|21|F|Small|1024|30|700
266|Alena|KY|21|M|Small|1024|30|614
267|Dre|HI|29|F|Small|1024|30|405
268|Ginevra|TN|26|F|Small|1024|30|873
269|Bethina|KY|50|F|Small|1024|30|997
270|Adara|OK|32|F|Small|1024|30|665
271|Beryle|NY|19|M|Small|1024|30|276
272|Genny|CO|52|F|Small|1024|30|351
273|Anett|SD|35|F|Small|1024|30|927
274|Birgitta|CT|20|M|Small|1024|30|967
275|Faith|ME|50|F|Small|1024|30|776
276|Jerrine|NY|43|M|Small|1024|30|692
277|Debbi|WV|40|F|Small|1024|30|384
278|Helena|CT|28|F|Small|1024|30|641
279|Felicdad|WY|36|F|Small|1024|30|767
280|Elberta|UT|20|F|Small|1024|30|747
281|Iseabal|NH|26|F|Small|1024|30|973
282|Jeanna|TX|24|M|Small|1024|30|312
283|Alica|MS|51|M|Small|1024|30|847
284|Arielle|ID|44|M|Small|1024|30|297
285|Arliene|TN|40|F|Small|1024|30|486
286|Fanchon|VT|19|M|Small|1024|30|395
287|Alina|MO|15|M|Small|1024|30|788
288|Halli|OH|56|F|Small|1024|30|437
289|Jessa|VA|58|M|Small|1024|30|586
290|Anna|GA|27|F|Small|1024|30|615
291|Beatriz|ID|44|F|Small|1024|30|590
292|Aindrea|AL|43|M|Small|1024|30|506
293|Aindrea|PA|59|M|Small|1024|30|253
294|Ethel|MS|35|F|Small|1024|30|1011
295|Elizabet|KS|49|M|Small|1024|30|332
296|Bertine|UT|18|M|Small|1024|30|368
297|Donetta|NM|24|F|Small|1024|30|966
298|Idaline|TN|34|F|Small|1024|30|750
299|Gwyneth|AZ|41|F|Small|1024|30|399
300|Arlina|VA|51|M|Small|1024|30|913
301|Gay|OR|48|F|Small|1024|30|993
302|Jessalyn|MN|34|M|Small|1024|30|362
303|Ardelis|WA|34|M|Small|1024|30|952
304|Dorette|NV|26|M|Small|1024|30|370
305|Glori|AK|38|F|Small|1024|30|407
306|Drucy|OR|25|M|Small|1024|30|948
307|Denna|AZ|42|M|Small|1024|30|611
308|Geneva|TX|27|F|Small|1024|30|1000
309|Devora|MA|58|F|Small|1024|30|607
310|Ilysa|NM|32|F|Small|1024|30|836
311|Flossie|NC|41|M|Small|1024|30|337
312|Flossie|HI|54|F|Small|1024|30|639
